headword	grammar	genitive	etymology
ἀγωίλιον	τό		
ἀγών	ὁ	ῶνος	
ἀγων-άρχης	ὁ	ου	
ἀγων-ία	ἡ		
ἀγων-ιάτης	ὁ	ου	
ἀγών-ιος	ον		
ἀ-γώνιος	ον		
ἀγών-ῐσις	ἡ		
ἀγών-ισμα	τό		
ἀγων-ισμός	ὁ		
ἀγων-ιστήριος	ον		
ἀγων-ιστής	ὁ	οῦ	
ἀγωνο-δίκης	ὁ	ου	
ἀγωνο-θεσία	ἡ		
ἀγωνο-θετήρ	ὁ	ῆρος	
ἀγωνο-θέτης	ὁ	ου	
ἀγωνο-θήκη	ἡ		
ἀγωνο-λογία	ἡ		λέγω
ἄ-γωνος	ον		
ἄγωνος	ὁ		
ἀγωνότριψ	ὁ	ιβος	
ἀδαγμός	ὁ		
ἄδᾳδος	ον		δαΐς, δᾷς
ἀδᾳδούχητος	ον		δᾳδουχέω
ἀδᾰ-ημονία	ἡ		
ἀδᾰ-ήμων	ον		
ἀδᾰ-ής	ές		*δάω, δαῆναι
ἀδά̆-ητος	ον		
ἀδαίδαλτος	ον		
ἀδαίετος	ον		δαίω B
ἀδάϊκτος	ον		
ἀδάϊος	ον		
ἀδαῖος	ον		ἄδην
ἄδαιτος	ον		δαίνυμαι
ἀδαίτρευτος	ον		
ἄδαιτρος	ον		δαίω B
ἀδάκρ-ῡτος	ον		
ἀδαμάντῐνος	ον		
ἀδᾰμαντό-δετος	ον		
ἀδᾰμαντο-πέδι-λος	ον		
ἀδάμ-ας	ὁ	αντος	δαμάω
ἀδάμ-αστος	ον		δαμάω
ἀδάμ-ᾰτος	ον		
ἀδαμ-άτωρ	ἡ		
ἀδαμ-νής	ές		
ἄδαμ-ος	ον		
ἀδάνειστος	ον		
ἀδάπᾰνος	ον		
ἀδάρκη	ἡ		
ἄδαρτος	ον		δέρω
ἄδασμος	ον		
ἄδαστος	ον		δάσασθαι
ἄδδιξ	ἡ	ῐχος	
ἀδε-ής	ές		δέομαι
ἀδέ-ητος	ον		
ἄδεια	ἡ		
ἄδεια	ἡ		δέομαι
ἀδειγμάτιστος	ον		
ἀδειής	ές		
ἄδεικτος	ον		
ἄδειλος	ον		
ἀδείμαντος	ον		δειμαίνω
ἄδειμος	ον		δεῖμα
ἄδειπνος	ον		
ἀδεισία	ἡ		
ἀδεισι-βόας	ὁ		
ἀδεισι-δαιμονία	ἡ		
ἀδεισι-δαίμων	ον		
ἀδεισί-θεος	ον		
ἀδέκαστος	ον		δεκάζω
ἀδεκάτευτος	ον		
ἄδεκτος	ον		δέχομαι
ἀδελφεοκτόνος	ον		
ἀδελφ-ή	ἡ		
ἀδελφ-ιδέος	ὁ		
ἀδελφ-ιδῆ	ἡ		
ἀδελφ-ιδῆς	ὁ		
ἀδελφ-ίδιον	τό		
ἀδέλφ-ιξις	ἡ		
ἀδέλφ-ιον	τό		
ἀδελφ-ίς	ἡ		
ἀδελφ-οδότης	ὁ	ου	
ἀδελφο-κτόνος	ον		
ἀδελφο-κτονία	ἡ		
